province,year,Total agricultural machinery power (10^4 kW) (China Rural Statistical Yearbook),Total agricultural output value (10^8 yuan) (China Rural Statistical Yearbook),Agricultural mechanization service organizations at year-end (units) (China Agricultural Machinery Industry Yearbook),Agricultural machinery households at year-end (units) (China Agricultural Machinery Industry Yearbook),Cultivated land area per agricultural laborer (10^3 ha/10^4 persons),Machine-ploughing rate (%),Machine-sowing rate (%),Machine-harvesting rate (%),Mechanized irrigation rate (%),Mechanized plant-protection rate (%),Agricultural machinery power per sown area (10^4 kW/10^3 ha),Agricultural output value per agricultural laborer (10^8 yuan/10^4 persons),Agricultural output value per unit cultivated area (10^8 yuan/10^3 ha),Operation income of agricultural machinery per 10^4 kW (10^8 yuan/10^4 kW),Agricultural carbon emissions,M_entropy,M_equal
Hunan,2019,0.9827279664250288,0.6939640216991418,1.01,0.6424777717298293,0.0549278895028641,0.6278378955164744,0.3445764462499868,0.7019442961460318,0.6245480706319565,0.2855373365026448,0.7382072349022203,0.095873977799197,0.2908068188214209,0.5386253419824829,0.230478472353238,0.4925147847280054,0.5241689026841679
Hunan,2018,0.9781850600018606,0.6379847984927353,0.9489397562255788,0.6369124677456686,0.0527538846922872,0.665497939367872,0.3379747263887755,0.6769689075807986,0.4202079733035221,0.2821006532688302,0.6671467646048368,0.0513733836235769,0.2630403839739442,0.457767069816982,0.2040805401468,0.4523524435134985,0.4853956206156046
Hunan,2017,1.00061556104731,0.6453880325148235,0.9139178569379912,0.6759929629103518,0.1133305603096714,0.6237872084486354,0.3195016820557722,0.7132451266921851,0.3970078602002967,0.2797642093598761,0.5642805167582484,0.0836629244567834,0.1953333742145348,0.6083692743663802,0.219861545047006,0.4517657760713212,0.4902705796879911
Hunan,2016,0.8958447488584474,0.8811477608974028,0.8051299589603284,0.6674394588663467,0.1227370112845067,0.617259080089822,0.2833635826436852,0.6883014139573573,0.4393892992660141,0.2466987296481206,0.5100568674693368,0.2064076760454173,0.183327472489173,0.6266195938743863,0.23214702405469,0.4491742961401412,0.4937246452270024
Hunan,2015,0.903701640359022,0.8193873857348095,0.7935691516134444,0.6693673638117402,0.1067182750479062,0.6478820057837335,0.2456674179463042,0.699465947586372,0.4961111908236004,0.2361124709992347,0.4385073830516702,0.179935075589431,0.1816228157694976,0.4609627340749067,0.25272363115791,0.4299362931103753,0.4754489659566389
Hunan,2014,0.898972471190781,0.8602802794537513,0.7685310734463277,0.6441778600518326,0.1211731669297957,0.5634371979945682,0.1966841523012879,0.592931990720926,0.5452803537034652,0.2162797997520952,0.441984087947246,0.1944500396026582,0.1782738418227764,0.4128920265626137,0.2535329880451299,0.4149478261140092,0.4592587553016836
Hunan,2013,0.89281262962287,0.8627791687531297,0.7178582261416615,0.6483155776028418,0.1327636520171539,0.5615659967371872,0.1554338039245146,0.5680527751982546,0.5478718082667804,0.2144078808583094,0.4390039755759902,0.2576029025368805,0.3412232459906577,0.1568009543042341,0.257334694596504,0.4104260451454658,0.4502551528084646
Chongqing,2022,0.2202469188941017,0.3320559475995034,0.2634567544113393,0.392296004067369,0.3817890751040028,0.6840223177866318,0.1688476949285658,0.3566800792242152,0.1672505728737424,0.1201876871525439,0.1656856183865998,0.3356879880798459,0.3991983389160904,0.6684492894384693,0.7227175111737245,0.3452279479279591,0.3585714532024496
Chongqing,2021,0.2195989210742348,0.3366189519144048,0.2727103631532329,0.3625968031870961,0.4632668616888725,0.7093457906155838,0.1464439223026684,0.3471372428275252,0.1544844221729212,0.1233247261407949,0.1338838202868766,0.3673231041154227,0.3769998991907275,0.6541467395747926,0.7296408224056851,0.3460567802193619,0.3598348260433892
Chongqing,2020,0.2184241646011885,0.329485524948758,0.2683964049195837,0.3555212095047337,0.4904161048885089,0.5996968211312715,0.1518332662516191,0.2785425847272473,0.1737180844520355,0.1046950581313742,0.100736619203969,0.3602999269660021,0.3882417845943555,0.6401030553208955,0.7496045048846,0.3369282532760049,0.3473143409684095
Chongqing,2019,0.2185768790537962,0.3045730752542907,0.2908601639539028,0.3592292778646527,0.5761844018242813,0.4249120046585465,0.0951139276497219,0.2640905308798232,0.1947291234198823,0.1006370704486631,0.1185498384446809,0.409850585177068,0.358417633297091,0.5249523255901285,0.749607131347014,0.3292306606401518,0.3326855979242362
Chongqing,2018,0.2168436230580793,0.2953931290773589,0.3025876246573745,0.3349410167044131,0.6234961946478688,0.4338654632082145,0.0749887274528981,0.1211851523889003,0.0964870742470299,0.0989788589664883,0.1470144261141868,0.4435420445796437,0.3530697387580971,0.4553913759346247,0.749824721776656,0.3163583338394217,0.3165072781047889
Chongqing,2017,0.2088015053867649,0.274217936877708,0.3105219985085757,0.3458276424901617,0.6184494223654352,0.4101547984726229,0.075457128908769,0.1414548405510214,0.1014711316967773,0.1123370686464296,0.0396271657354458,0.3960961391333008,0.3342885751108691,0.6603747220177415,0.753551830117552,0.3135353034382011,0.318842127067945
Chongqing,2016,0.1873705746308486,0.2913437590947618,0.3086046511627907,0.3374644294029197,0.5896503514195908,0.4418606704536857,0.069575297089376,0.121140821176645,0.1088443439574027,0.1132711461302355,0.0528981819829285,0.393387048212201,0.2692722489092292,0.622345346816548,0.758778196760952,0.3047012667968353,0.3110538044800077
Chongqing,2015,0.1927143299288146,0.2548526619209527,0.3254186007493988,0.3194031907401169,0.5218957954022893,0.5332112042278311,0.0566089795096971,0.0941419300061364,0.1280613082575349,0.1100443101419311,0.0721488022396406,0.3051268345409955,0.2633090264568813,0.4240596736104574,0.765021583413771,0.2844754583598993,0.2910678820764299
Chongqing,2014,0.1901376440460947,0.2600234865812707,0.334180790960452,0.2857183265457238,0.5547098225101196,0.4410202932730024,0.0536177567459797,0.0717236672841738,0.1241592195864746,0.0987977321982882,0.0388760884804042,0.2959644375241531,0.2896906022170085,0.3781150779725213,0.76759103022108,0.275740560334372,0.2789550650764497
Chongqing,2013,0.1901363839989381,0.2560023368385912,0.3328669325394596,0.2809439769306158,0.485023153442731,0.4463578527880926,0.0569869171045114,0.0560275376462956,0.1182813188282536,0.1001116414455676,0.0635530360432788,0.3162606940265615,0.1971876384446231,0.3713450690300741,0.774094107291956,0.2661439647511095,0.2696785730933033
Sichuan,2022,0.7019898420350363,1.01,0.9457824703500144,0.7657068662595007,0.0770635364086506,0.5487564007574574,0.3058784614584175,0.3318090466165541,0.3367028947630152,0.300514444322014,0.2284577549342624,0.0947956055073556,0.5419556742885439,0.7224907290381893,0.2659567093543514,0.4315252206918751,0.4785240290728909
